Raw file	Experiment	Fraction	Enzyme	Enzyme mode	Enzyme first search	Enzyme mode first search	Use enzyme first search	Variable modifications	Fixed modifications	Multi modifications	Variable modifications first search	Use variable modifications first search	Requantify	Multiplicity	Max. missed cleavages	Labels0	LC-MS run type	Time-dependent recalibration	MS	MS/MS	MS3	MS/MS Submitted	MS/MS Submitted (SIL)	MS/MS Submitted (ISO)	MS/MS Submitted (PEAK)	MS/MS Identified	MS/MS Identified (SIL)	MS/MS Identified (ISO)	MS/MS Identified (PEAK)	MS/MS Identified [%]	MS/MS Identified (SIL) [%]	MS/MS Identified (ISO) [%]	MS/MS Identified (PEAK) [%]	Peptide Sequences Identified	Peaks	Peaks Sequenced	Peaks Sequenced [%]	Peaks Repeatedly Sequenced	Peaks Repeatedly Sequenced [%]	Isotope Patterns	Isotope Patterns Sequenced	Isotope Patterns Sequenced (z>1)	Isotope Patterns Sequenced [%]	Isotope Patterns Sequenced (z>1) [%]	Isotope Patterns Repeatedly Sequenced	Isotope Patterns Repeatedly Sequenced [%]	Recalibrated	Av. Absolute Mass Deviation [ppm]	Mass Standard Deviation [ppm]	Av. Absolute Mass Deviation [mDa]	Mass Standard Deviation [mDa]	Label free norm param
15_12	15_12	0	Trypsin	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		16207	64653	0	85107	44199	0	40908	4717	4287	0	430	5.54	9.7	NaN	1.05	2979	1216139	50637	4.16	6420	12.68	83663	30083	29411	35.96	42.67	7880	26.19	+	0.53932	0.74412	0.3937	0.57969	
15_15	15_15	0	Trypsin	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		15963	74293	0	88740	59846	0	28894	23943	22822	0	1121	26.98	38.13	NaN	3.88	21328	956417	69309	7.25	2465	3.56	111174	53010	52067	47.68	53.63	5843	11.02	+	0.47237	0.70645	0.3201	0.50083	
16_12	16_12	0	Trypsin	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		17105	57341	0	76156	38526	0	37630	1733	1521	0	212	2.28	3.95	NaN	0.56	1059	1262498	43276	3.43	6359	14.69	76557	24610	23931	32.15	40.03	7087	28.8	+	0.63534	0.86087	0.46578	0.66968	
16_15	16_15	0	Trypsin	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		16712	71842	0	85702	57982	0	27720	21123	19997	0	1126	24.65	34.49	NaN	4.06	18901	954919	67086	7.03	2566	3.82	105049	51022	50142	48.57	55.17	5895	11.55	+	0.47133	0.70494	0.31462	0.49351	
17_12	17_12	0	Trypsin	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		16513	59938	0	78266	41610	0	36656	766	643	0	123	0.98	1.55	NaN	0.34	472	1190614	46057	3.87	6302	13.68	79724	27487	26787	34.48	41.08	7408	26.95	+	0.72479	0.9614	0.52891	0.72814	
17_15	17_15	0	Trypsin	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		15766	77263	0	92371	62155	0	30216	24858	23731	0	1127	26.91	38.18	NaN	3.73	22209	1013229	72394	7.14	2488	3.44	117211	55320	53947	47.2	53.99	5924	10.71	+	0.48721	0.73025	0.32663	0.50939	
18_12	18_12	0	Trypsin	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		16439	60670	0	78371	42969	0	35402	7336	6749	0	587	9.36	15.71	NaN	1.66	4585	1255951	48572	3.87	5718	11.77	87134	30080	29512	34.52	40.59	7356	24.45	+	0.47049	0.6813	0.32682	0.50063	
18_15	18_15	0	Trypsin	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		15025	79704	0	95292	64116	0	31176	22875	21900	0	975	24.01	34.16	NaN	3.13	20728	1339450	72725	5.43	2440	3.36	139881	56983	56061	40.74	46.19	6190	10.86	+	0.45671	0.68457	0.31868	0.5019	
9_12	9_12	0	Trypsin	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		17483	55214	0	73145	37283	0	35862	1847	1726	0	121	2.53	4.63	NaN	0.34	1134	1220140	40801	3.34	6176	15.14	73498	22998	22367	31.29	38.52	6711	29.18	+	0.61582	0.81871	0.43432	0.60936	
9_15	9_15	0	Trypsin	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		16215	74321	0	86663	61979	0	24684	17371	16508	0	863	20.04	26.63	NaN	3.5	15967	1279439	69715	5.45	2135	3.06	129259	55617	54890	43.03	49.6	5620	10.1	+	0.47597	0.70393	0.33241	0.51233	
Total																			324910	1378725	0	1730169	1027281	0	702888	264710	250718	0	13992	15.3	24.41	NaN	1.99	74459	23308653					2037106	821814	805263	40.34	46.82	133518	16.25		0.48043	0.71244	0.33128	0.51476	
