Name	Rank	Superkingdom	Kingdom	Phylum	Class	Order	Family	Genus	Species	Intensity 10_18	Intensity 10_9	Intensity 11_18	Intensity 11_9	Intensity 12_18	Intensity 12_9	Intensity 13_18	Intensity 13_9	Intensity 14_18	Intensity 14_9	Intensity 15_18	Intensity 15_9	Intensity 16_18	Intensity 16_9	Intensity 17_18	Intensity 17_9	Intensity 18_18	Intensity 18_9	Intensity 9_18	Intensity 9_9
Bacteroidota	Phylum	Bacteria		Bacteroidota						1.7847968125014102E11	8.428323965666669E10	1.8491213261432172E11	8.397407919E10	2.2581583223163126E11	3.3671189969999992E10	1.870568662232421E11	2.0865602471000003E11	1.679968711386056E11	8.745975044899998E10	2.0337918783017456E11	5.385624695999999E10	2.068277255695909E11	5.879703323866668E10	1.821736933760318E11	8.996793954E10	2.096913403697659E11	2.9732877873E10	1.7140618019705615E11	5.7040678453E10
Methanobacteriota	Phylum	Archaea		Methanobacteriota						1491100.0	0.0	2.1117E7	0.0	2523800.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5567800.0
Elusimicrobiota	Phylum	Bacteria		Elusimicrobiota						3.9137615E7	5.64152E8	8.65111E7	1.301387E8	2.6955E7	2.4873E7	5.28125E7	1.2530605E9	5.503817E7	9.515826E8	3.4309107E8	2.2741798E8	2.2842972E8	8.40294E8	5.451115E7	9.17861E8	8.1926E7	1.6651929E8	6.273448E7	2.801157E8
Cyanobacteria	Phylum	Bacteria		Cyanobacteria						4.6301475E7	0.0	3.283195E7	3.05857E7	7690650.0	1350318.0	5.78371E7	2.477888E7	1.81973832E8	5361400.0	5.175684E7	3904200.0	6.597219E7	1.54343E7	8.382681E7	9449300.0	3.3124734E7	1.67017E7	5.15704E7	0.0
Desulfobacterota_I	Phylum	Bacteria		Desulfobacterota_I						3.3275681E8	2.50296874E9	1.7568618E9	1.50093417E9	4.961109E8	7.3859908E8	1.34503884E9	4.26903E9	3.7448384E8	2.15051186E9	9.1897915E8	1.5302285E9	7.73416E7	2.2619645E9	4.3641004E8	1.0949161E9	5.9664176E8	1.08190879E9	3.015767E8	2.00999785E9
Fusobacteriota	Phylum	Bacteria		Fusobacteriota						1.3102391E8	5.99512E7	1.3664004E8	1.4031E7	2.666483E7	1.878011E7	2.1503464E8	9.2953E7	8.17851E7	0.0	1.253887E8	5.30586E7	2.74078E7	5.21202E7	5.40644E7	7722400.0	4.19417E7	3.66899E7	1.4311805E8	2.02128E7
Firmicutes_C	Phylum	Bacteria		Firmicutes_C						6.543433294221631E10	3.3611543046666664E10	8.3538257195127E10	2.67968632486E10	2.6151874993317463E10	2.8347675476999996E10	8.056011815025262E10	9.011481914E10	6.57796726040125E10	3.4279680820000004E10	6.903931913915874E10	2.0132399258E10	6.097784284286102E10	2.9763084485000004E10	1.2158469431405688E11	4.185769864999999E10	3.659241612431746E10	1.3842305503E10	4.810262391007178E10	2.80730788565E10
Firmicutes_B	Phylum	Bacteria		Firmicutes_B						2057800.0	7375500.0	42861.0	0.0	1.0817088E7	0.0	4552680.0	0.0	2158345.0	0.0	5836700.0	0.0	382019.0	0.0	3559800.0	0.0	3545850.0	172870.0	1.267164E7	0.0
Alphaproteobacteria	Class	Bacteria		Proteobacteria	Alphaproteobacteria					3974300.0	6.5402E8	0.0	452350.0	2220800.0	678520.0	4374500.0	1.8822E8	0.0	2.8309E7	644690.0	0.0	9066600.0	0.0	1.20004E7	0.0	4070500.0	4548800.0	3550200.0	2.21E8
Actinomycetia	Class	Bacteria		Actinobacteriota	Actinomycetia					2.4921096860000005E9	8.93645053E9	3.479781195E9	1.22519319E10	2.5880146969999995E9	9.93092407E9	2.637320633E9	2.7118095140000004E10	1.9286492299999998E9	1.256163547E10	2.8267696999999995E9	4.218090434E9	2.57117007E9	7.48819899E9	1.879159905E9	1.2304081100000002E9	4.37374545E9	1.603989848E10	2.28359424E9	7.995295435E9
Bacilli	Class	Bacteria		Firmicutes	Bacilli					3.5671339356190475E10	7.346495537233333E10	4.5190372161071434E10	1.0829337025685713E11	8.097293404533333E10	1.29671858142E11	4.281632101610714E10	1.59837253835E11	5.086074382924999E10	1.3669930794033333E11	4.909678310227381E10	1.8083921185600003E11	4.73984118985E10	1.2416499865390477E11	3.7376959040666664E10	7.8447490805E10	9.750337032591666E10	1.3740225360800002E11	5.528215539539285E10	7.40072520915E10
Desulfovibrionia	Class	Bacteria		Desulfobacterota_I	Desulfovibrionia					3.3275681E8	2.50296874E9	1.7568618E9	1.50093417E9	4.961109E8	7.3859908E8	1.34503884E9	4.26903E9	3.7448384E8	2.15051186E9	9.1897915E8	1.5302285E9	7.73416E7	2.2619645E9	4.3641004E8	1.0949161E9	5.9664176E8	1.08190879E9	3.015767E8	2.00999785E9
Peptococcia	Class	Bacteria		Firmicutes_B	Peptococcia					2057800.0	7375500.0	42861.0	0.0	1.0817088E7	0.0	4552680.0	0.0	2158345.0	0.0	5836700.0	0.0	382019.0	0.0	3559800.0	0.0	3545850.0	172870.0	1.267164E7	0.0
Fusobacteriia	Class	Bacteria		Fusobacteriota	Fusobacteriia					1.3102391E8	5.99512E7	1.3664004E8	1.4031E7	2.666483E7	1.878011E7	2.1503464E8	9.2953E7	8.17851E7	0.0	1.253887E8	5.30586E7	2.74078E7	5.21202E7	5.40644E7	7722400.0	4.19417E7	3.66899E7	1.4311805E8	2.02128E7
Elusimicrobia	Class	Bacteria		Elusimicrobiota	Elusimicrobia					3.9137615E7	5.64152E8	8.65111E7	1.301387E8	2.6955E7	2.4873E7	5.28125E7	1.2530605E9	5.503817E7	9.515826E8	3.4309107E8	2.2741798E8	2.2842972E8	8.40294E8	5.451115E7	9.17861E8	8.1926E7	1.6651929E8	6.273448E7	2.801157E8
Clostridia	Class	Bacteria		Firmicutes_A	Clostridia					1.4724443067227267E11	8.51595125893333E10	1.3736819671940291E11	1.3644564508854285E11	7.504228622205128E10	6.9963994569E10	1.526035846521674E11	1.9490661216500006E11	1.5719599171831143E11	1.1815899965766667E11	1.1192211612723907E11	4.3711090818999985E10	1.2563303244212497E11	6.399073095342855E10	8.895486493993701E10	8.585821962500005E10	9.002772443661536E10	3.6095382194E10	1.3718825767806894E11	6.1888341562999985E10
Bacteroidia	Class	Bacteria		Bacteroidota	Bacteroidia					1.7847968125014102E11	8.428323965666669E10	1.8491213261432172E11	8.397407919E10	2.2581583223163126E11	3.3671189969999992E10	1.870568662232421E11	2.0865602471000003E11	1.679968711386056E11	8.745975044899998E10	2.0337918783017456E11	5.385624695999999E10	2.068277255695909E11	5.879703323866668E10	1.821736933760318E11	8.996793954E10	2.096913403697659E11	2.9732877873E10	1.7140618019705615E11	5.7040678453E10
Spirochaetia	Class	Bacteria		Spirochaetota	Spirochaetia					9.550768251282051E7	1.2783155666666667E8	2.0302161641025642E8	2.924303E7	8.063593933333334E7	6.480828E7	2.527857949897436E9	2.874825666666667E8	8.182705001538461E8	6.3788763333333336E7	1.608890914871795E8	5.3494393333333336E7	7.546668889230769E8	1.0762441666666667E8	7.85557923076923E7	8.4141E7	2.5851805384615384E7	3.6294273333333336E7	3.574246350769231E8	5.965537E7
Deferribacteres	Class	Bacteria		Deferribacterota	Deferribacteres					1868900.0	0.0	1.75586E7	0.0	2363800.0	0.0	7741200.0	0.0	6850200.0	0.0	7552600.0	0.0	0.0	0.0	2.245082E7	0.0	0.0	0.0	0.0	0.0
Methanobacteria	Class	Archaea		Methanobacteriota	Methanobacteria					1491100.0	0.0	2.1117E7	0.0	2523800.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5567800.0
Gammaproteobacteria	Class	Bacteria		Proteobacteria	Gammaproteobacteria					4.5231371600000006E8	3.501447813333333E9	2.2153561166666665E9	5.7347536E8	3.896118203333333E8	2.9265317E8	2.6734620333333335E9	1.8955230633333333E9	1.6330687E9	9.340146766666667E8	4.462197325666666E9	4.418479406666667E8	1.77949973E9	2.2074918933333335E9	1.4791429199999998E9	8.433058E8	9.33146842E8	9.428234066666667E8	5.3709453E8	1.047452867E9
Coriobacteriia	Class	Bacteria		Actinobacteriota	Coriobacteriia					4.993405966666666E8	5.205813E7	1.6580969E8	9.680001E7	1.8455398E8	3.135543E7	2.9000538E8	5.64059E7	1.7250066666666666E8	4.113481E7	1.2471087E8	2.100325E7	2.6612415E8	1.5908579E7	2.2532743E8	2.16953E7	1.3569601E8	9833730.0	2.153231533333333E8	1.215375E7
Negativicutes	Class	Bacteria		Firmicutes_C	Negativicutes					6.543433294221631E10	3.3611543046666664E10	8.3538257195127E10	2.67968632486E10	2.6151874993317463E10	2.8347675476999996E10	8.056011815025262E10	9.011481914E10	6.57796726040125E10	3.4279680820000004E10	6.903931913915874E10	2.0132399258E10	6.097784284286102E10	2.9763084485000004E10	1.2158469431405688E11	4.185769864999999E10	3.659241612431746E10	1.3842305503E10	4.810262391007178E10	2.80730788565E10
Vampirovibrionia	Class	Bacteria		Cyanobacteria	Vampirovibrionia					4.6301475E7	0.0	3.283195E7	3.05857E7	7690650.0	1350318.0	5.78371E7	2.477888E7	1.81973832E8	5361400.0	5.175684E7	3904200.0	6.597219E7	1.54343E7	8.382681E7	9449300.0	3.3124734E7	1.67017E7	5.15704E7	0.0
Campylobacteria	Class	Bacteria		Campylobacterota	Campylobacteria					1.968556405E9	1.0878619E9	2.75632261E9	1.197912445E9	1.30808041E9	6.5591353E8	1.450946055E9	2.94767202E9	1.423223401E10	1.2248055E9	1.50063889E9	1.075711119E9	1.5938187295E10	2.15934627E9	9.0162848E8	1.5672257E9	1.062755705E9	4.9158835E8	6.0921062E9	1.220893268E9
Kiritimatiellae	Class	Bacteria		Verrucomicrobiota	Kiritimatiellae					2338400.0	5.4893E7	3.901E7	0.0	2219400.0	0.0	3.0786E7	7.1666E7	7774000.0	0.0	3.8942E7	2915800.0	0.0	2.7285E7	1.2611E7	6251200.0	2639900.0	6264600.0	7823900.0	1.59361E7
Verrucomicrobiae	Class	Bacteria		Verrucomicrobiota	Verrucomicrobiae					1.8806501E8	1.1997306E8	1.67801107E9	4.0227196E8	6.4192664E7	2.5582339E7	2.987071E8	1.9189433E8	2.6227986E8	9.947239E7	2.9500082E8	5.974178E7	1.577728E8	1.531624E7	2.4308918E8	9.713329E7	1.1078461E8	3.976266E7	2.3318698E8	6.05375E7
Pseudomonadales	Order	Bacteria		Proteobacteria	Gammaproteobacteria	Pseudomonadales				3.50929E7	2158010.0	4.6058133333333336E7	402860.0	1.8303377E7	1321090.0	5.796066666666667E7	4194000.0	2.6816396666666668E7	451700.0	1.318219E8	1840390.0	3.6346143333333336E7	6.5961199E8	3.513233333333333E7	2402400.0	2799440.0	3170800.0	3.0676E7	91957.0
Bacteroidales	Order	Bacteria		Bacteroidota	Bacteroidia	Bacteroidales				1.7847968125014102E11	8.428323965666669E10	1.8491213261432172E11	8.397407919E10	2.2581583223163126E11	3.3671189969999992E10	1.870568662232421E11	2.0865602471000003E11	1.679968711386056E11	8.745975044899998E10	2.0337918783017456E11	5.385624695999999E10	2.068277255695909E11	5.879703323866668E10	1.821736933760318E11	8.996793954E10	2.096913403697659E11	2.9732877873E10	1.7140618019705615E11	5.7040678453E10
Rs-D84	Order	Bacteria		Proteobacteria	Alphaproteobacteria	Rs-D84				0.0	0.0	0.0	0.0	0.0	516980.0	2767400.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1787400.0	0.0	0.0
Gastranaerophilales	Order	Bacteria		Cyanobacteria	Vampirovibrionia	Gastranaerophilales				4.6301475E7	0.0	3.283195E7	3.05857E7	7690650.0	1350318.0	5.78371E7	2.477888E7	1.81973832E8	5361400.0	5.175684E7	3904200.0	6.597219E7	1.54343E7	8.382681E7	9449300.0	3.3124734E7	1.67017E7	5.15704E7	0.0
Burkholderiales	Order	Bacteria		Proteobacteria	Gammaproteobacteria	Burkholderiales				6.88238E7	1.4185041E9	1.0269409E8	5.289284E7	1.215954E8	1.9186E7	9.3890988E8	4.6777883E8	6.7065163E8	6.462092E7	2.3446837E8	5.29305E7	1.2273842E8	2.4947468E8	2.1171583E8	4.48257E7	1.2203531E8	6.124751E7	1.722737E8	4.561373E8
Clostridiales	Order	Bacteria		Firmicutes_A	Clostridia	Clostridiales				2.165488269E9	6.14874011E9	5.60781864E9	4.91853402346E10	3.84199714E9	5.131907195E9	4.38047791E9	5.4539485E9	7.308574522E9	3.75078224E9	5.56574582E9	3.714228065E9	4.256726754E9	3.356694753E9	2.0880410199999998E9	1.01960107E10	3.361090097E9	2.209486514E9	2.889507404E9	2.369068935E9
Peptostreptococcales	Order	Bacteria		Firmicutes_A	Clostridia	Peptostreptococcales				6.608965801547619E8	5.347902354E9	1.9164810914761906E9	7.593211314E9	1.31334943025E9	3.28917172E9	1.2761187690238094E9	1.169974955E10	2.3212089961666665E9	7.81842425E9	2.4273241834166665E9	3.729401401E9	1.4306741405E9	1.737928295E9	6.888602032023809E8	6.2515589E9	1.17319238625E9	1.82291847E9	1.4132527548095238E9	2.943658889E9
Campylobacterales	Order	Bacteria		Campylobacterota	Campylobacteria	Campylobacterales				1.968556405E9	1.0878619E9	2.75632261E9	1.197912445E9	1.30808041E9	6.5591353E8	1.450946055E9	2.94767202E9	1.423223401E10	1.2248055E9	1.50063889E9	1.075711119E9	1.5938187295E10	2.15934627E9	9.0162848E8	1.5672257E9	1.062755705E9	4.9158835E8	6.0921062E9	1.220893268E9
TANB77	Order	Bacteria		Firmicutes_A	Clostridia	TANB77				4.7139105E7	1.0505132E8	1.1376659E8	3.599411E7	4.868997E7	1.2817167E8	1.9658526E8	1.350207E8	1.31213515E8	4.70264E7	1.624323E8	1.1370287E8	1.19928725E8	5.34145E7	7.455197E7	4.34197E7	1.15226865E8	2.83753E7	1.0364781E8	6.016887E7
Lachnospirales	Order	Bacteria		Firmicutes_A	Clostridia	Lachnospirales				7.267446284574757E10	4.199033634466668E10	7.301071124847986E10	4.411010435984762E10	3.8605169123120895E10	3.0347832797285713E10	9.039192709517319E10	1.0555830161666669E11	8.594786545119943E10	5.581361415133332E10	5.919089787275365E10	2.247882197116117E10	6.168934536792793E10	3.440133483242859E10	4.384195886853012E10	3.463344596333334E10	4.488094008441391E10	1.8765297513238094E10	7.744802021848145E10	2.9867961917357143E10
Actinomycetales	Order	Bacteria		Actinobacteriota	Actinomycetia	Actinomycetales				2.4729250643333335E9	8.580155905E9	3.43700477E9	1.22013113E10	2.5782612269999995E9	9.87145807E9	2.596499958E9	2.6408552740000004E10	1.8580858799999998E9	1.250447449E10	2.7564592399999995E9	4.1822557006666665E9	2.54800991E9	7.384430275E9	1.8014190058333333E9	1.04686261E9	4.339279025E9	1.5708007855E10	2.224128065E9	7.81070256E9
Haloplasmatales_A	Order	Bacteria		Firmicutes	Bacilli	Haloplasmatales_A				3.392442816666667E8	8.392051694444444E8	7.581218883333334E8	1.12260051E9	3.846993533333333E8	2.635934E8	4.336019002222222E8	4.308088872222222E8	4.954518138888889E8	4.728636083333333E9	5.316035255555555E8	2.6136359444444445E8	3.8933974999999994E8	5.5522481E8	3.148644088888889E8	2.6002148055555555E8	4.798172294444444E8	5.07748067E8	3.4438534000000006E8	1.40427666E8
Propionibacteriales	Order	Bacteria		Actinobacteriota	Actinomycetia	Propionibacteriales				5997108.333333333	3.21055325E8	1.6590825E7	3.6544E7	5197800.0	5.25376E7	5776575.0	6.73183E8	1.075215E7	4.126198E7	1.98261E7	1.4345266666666666E7	6956000.0	8.8071975E7	7798685.833333334	1.77921E8	1.0442525E7	3.30433325E8	4.2727075E7	1.74989375E8
Acidaminococcales	Order	Bacteria		Firmicutes_C	Negativicutes	Acidaminococcales				1.059932508310942E10	2.22119477E9	9.670056855714287E9	2.0190352E9	1.7402711133333333E9	8.4200469E8	8.8999618435461E9	3.88416896E9	1.139711426186525E10	2.31589204E9	7.47512467395238E9	2.17569668E9	6.373434252638298E9	1.22054299E9	7.584950231215805E9	4.2844619E9	3.163860920952381E9	1.099472474E9	8.608071530303951E9	1.278351596E9
UBA1381	Order	Bacteria		Firmicutes_A	Clostridia	UBA1381				1.3435270734042555E8	4.187546E7	1.113621E8	8.084055E7	4.5781545E7	2.226426E7	1.746508284397163E8	5.07932E7	2.4992123276595744E8	4.280845E7	8.980801E7	2.094808E7	9.163370531914894E7	2.5400955E7	5.326970989361702E7	2.89937E7	5.8336905E7	1.6604024E7	1.3005763872340426E8	8266835.0
Bacillales	Order	Bacteria		Firmicutes	Bacilli	Bacillales				1163750.0	0.0	0.0	2555750.0	3069200.0	0.0	0.0	0.0	0.0	1.615007E8	2224100.0	3469700.0	0.0	1.638015E7	706200.0	1.18785E7	0.0	7696400.0	923750.0	1667150.0
Bacillales_A	Order	Bacteria		Firmicutes	Bacilli	Bacillales_A				1901110.0	4172500.0	4738500.0	5366200.0	3446600.0	6346500.0	3127200.0	7880500.0	1931000.0	0.0	6073600.0	1.41934E7	0.0	6883300.0	1784400.0	0.0	1131000.0	4771600.0	2041400.0	3216500.0
Christensenellales	Order	Bacteria		Firmicutes_A	Clostridia	Christensenellales				1.7243809439979346E9	7.666204119444445E9	2.491870567857143E9	2.3719189766666665E9	1.1419853657142859E9	4.02025255E9	1.329140903995272E9	1.0013318847222221E10	1.5889604368929417E9	4.0235295733333335E9	1.9811086597222223E9	1.4602231928290598E9	1.7436820753191488E9	3.84811653E9	8.090660096158391E8	5.313833410555555E9	1.2355916748015873E9	2.156561394E9	2.2062726253900704E9	2.7797283866666665E9
Desulfovibrionales	Order	Bacteria		Desulfobacterota_I	Desulfovibrionia	Desulfovibrionales				3.3275681E8	2.50296874E9	1.7568618E9	1.50093417E9	4.961109E8	7.3859908E8	1.34503884E9	4.26903E9	3.7448384E8	2.15051186E9	9.1897915E8	1.5302285E9	7.73416E7	2.2619645E9	4.3641004E8	1.0949161E9	5.9664176E8	1.08190879E9	3.015767E8	2.00999785E9
RFP12	Order	Bacteria		Verrucomicrobiota	Kiritimatiellae	RFP12				2338400.0	5.4893E7	3.901E7	0.0	2219400.0	0.0	3.0786E7	7.1666E7	7774000.0	0.0	3.8942E7	2915800.0	0.0	2.7285E7	1.2611E7	6251200.0	2639900.0	6264600.0	7823900.0	1.59361E7
Peptococcales	Order	Bacteria		Firmicutes_B	Peptococcia	Peptococcales				2057800.0	7375500.0	42861.0	0.0	1.0817088E7	0.0	4552680.0	0.0	2158345.0	0.0	5836700.0	0.0	382019.0	0.0	3559800.0	0.0	3545850.0	172870.0	1.267164E7	0.0
Rhodobacterales	Order	Bacteria		Proteobacteria	Alphaproteobacteria	Rhodobacterales				3974300.0	6.5402E8	0.0	452350.0	2220800.0	161540.0	1607100.0	1.8822E8	0.0	2.8309E7	644690.0	0.0	9066600.0	0.0	1.20004E7	0.0	4070500.0	2761400.0	3550200.0	2.21E8
Selenomonadales	Order	Bacteria		Firmicutes_C	Negativicutes	Selenomonadales				5.031420759369504E10	2.2912809266666668E10	6.333077276546032E10	1.9612727694000004E10	1.5133168881984125E10	2.1694117627E10	6.369708473660014E10	7.554674632E10	5.009667710638129E10	2.4898637180000004E10	5.068392894515873E10	1.4919936358000004E10	4.422377358440358E10	2.3368030101999996E10	8.699292025687604E10	3.2594798549999996E10	2.405099323231746E10	1.0671191156E10	3.462310639440156E10	2.2352848608999996E10
Lactobacillales	Order	Bacteria		Firmicutes	Bacilli	Lactobacillales				2.9351511335333332E10	6.4964146389444435E10	3.806964459400001E10	9.9733657525E10	7.5464630617E10	1.20784789662E11	3.762609808655556E10	1.4655496848722223E11	4.4205555072555565E10	1.0743567413699998E11	4.3390445479888885E10	1.7482384721944443E11	4.165570970133333E10	1.1679253867533333E11	3.2654297086888893E10	7.024840537055556E10	9.168341245644443E10	1.3124880402333334E11	4.6431887956333336E10	6.746896424066667E10
Sphaerochaetales	Order	Bacteria		Spirochaetota	Spirochaetia	Sphaerochaetales				1925500.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6015390.0	0.0
Staphylococcales	Order	Bacteria		Firmicutes	Bacilli	Staphylococcales				434333.3333333333	115969.44444444444	915083.3333333334	0.0	207400.0	0.0	8462772.222222222	87897.22222222222	844388.8888888889	0.0	1.2604972222222222E7	37744.444444444445	1.3846836666666666E7	0.0	6312272.222222222	57780.555555555555	336944.44444444444	0.0	3188333.3333333335	0.0
Oscillospirales	Order	Bacteria		Firmicutes_A	Clostridia	Oscillospirales				6.967963662871056E10	2.373813768233333E10	5.3949239373970695E10	3.2921481243428574E10	2.997275870421611E10	2.689964947671429E10	5.46562055324005E10	6.1426459606666664E10	5.9394778153294334E10	4.6408633709666664E10	4.229260014827106E10	1.212879942012088E10	5.616763206679677E10	2.0404732387999996E10	4.1267667629072014E10	2.935751909E10	3.9108954842225296E10	1.0978546854761906E10	5.282390457690261E10	2.3670744569976196E10
Enterobacterales	Order	Bacteria		Proteobacteria	Gammaproteobacteria	Enterobacterales				3.4340836600000006E8	2.0807857033333333E9	2.0650129933333333E9	5.2017966E8	2.4736704333333337E8	2.7214608E8	1.6765914866666665E9	1.4235502333333333E9	9.356006733333334E8	8.689420566666667E8	4.091865255666666E9	3.870770506666667E8	1.6204151666666667E9	1.2984052233333335E9	1.2322947566666665E9	7.960777E8	8.06345092E8	8.784050966666667E8	3.2309043E8	5.9122361E8
Deferribacterales	Order	Bacteria		Deferribacterota	Deferribacteres	Deferribacterales				1868900.0	0.0	1.75586E7	0.0	2363800.0	0.0	7741200.0	0.0	6850200.0	0.0	7552600.0	0.0	0.0	0.0	2.245082E7	0.0	0.0	0.0	0.0	0.0
Cardiobacteriales	Order	Bacteria		Proteobacteria	Gammaproteobacteria	Cardiobacteriales				4988650.0	0.0	1590900.0	0.0	2346000.0	0.0	0.0	0.0	0.0	0.0	4041800.0	0.0	0.0	0.0	0.0	0.0	1967000.0	0.0	1.10544E7	0.0
UBA1212	Order	Bacteria		Firmicutes_A	Clostridia	UBA1212				7.631121E7	2.06101E7	4.45742E7	1.42E7	1.04635E7	1.455E7	4.66353E7	3.353815E7	3.596085E7	3.363505E7	4.71606E7	2138330.0	2.8972E7	3.58855E7	4.095516E7	3.15985E7	1.87194E7	1.2432E7	4.36079E7	6520500.0
Treponematales	Order	Bacteria		Spirochaetota	Spirochaetia	Treponematales				9.358218251282051E7	1.2783155666666667E8	2.0302161641025642E8	2.924303E7	8.063593933333334E7	6.480828E7	2.527857949897436E9	2.874825666666667E8	8.182705001538461E8	6.3788763333333336E7	1.608890914871795E8	5.3494393333333336E7	7.546668889230769E8	1.0762441666666667E8	7.85557923076923E7	8.4141E7	2.5851805384615384E7	3.6294273333333336E7	3.514092450769231E8	5.965537E7
Fusobacteriales	Order	Bacteria		Fusobacteriota	Fusobacteriia	Fusobacteriales				1.3102391E8	5.99512E7	1.3664004E8	1.4031E7	2.666483E7	1.878011E7	2.1503464E8	9.2953E7	8.17851E7	0.0	1.253887E8	5.30586E7	2.74078E7	5.21202E7	5.40644E7	7722400.0	4.19417E7	3.66899E7	1.4311805E8	2.02128E7
